ProductID,Review,battery life,camera quality,screen,performance,price,Rating,sentiment_score,sentiment_pred,sentiment,quality_prescence,satisfi_prescence,excellent_prescence,disappointing_prescence,bad_prescence,terrible_prescence,worst_prescence,outstanding_prescence,perfect_prescence,dreadful_prescence,poor_prescence,good_prescence,quit_prescence,nice_prescence,i_prescence,'m_prescence,purchase_prescence
P001,batteri life good . camera qualiti quit nice . perform good . i 'm satisfi purchase .,1,1,0,1,0,4,0.8225,positive,positive,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
P001,"overall , product excellent .",0,0,0,0,0,5,0.5719,positive,positive,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P001,batteri life disappointing . screen disappointing . perform bad . higher expectations .,1,0,1,1,0,2,-0.872,negative,negative,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
P001,screen satisfactory . perform quit nice . price satisfactory . i 'm satisfi purchase .,0,0,1,1,1,4,0.7783,positive,positive,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
P001,screen terrible . price worst . higher expectations .,0,0,1,0,1,1,-0.802,negative,negative,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
P001,camera qualiti outstanding . screen perfect . perform outstanding . i 'm satisfi purchase .,0,1,1,1,0,5,0.9136,positive,positive,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
P001,perform quit nice . price good . i 'm satisfi purchase .,0,0,0,1,1,4,0.6908,positive,positive,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
P001,batteri life dreadful . camera qualiti worst . screen dreadful . perform worst . price worst . higher expectations .,1,1,1,1,1,1,-0.959,negative,negative,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
P001,batteri life excellent . screen perfect . price excellent . i 'm satisfi purchase .,1,0,1,0,1,5,0.9022,positive,positive,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
P001,batteri life average . screen okay . price mediocre . higher expectations .,1,0,1,0,1,3,0.2263,positive,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life excellent . camera qualiti outstanding . perform perfect . price outstanding . i 'm satisfi purchase .,1,1,0,1,1,5,0.9468,positive,positive,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1
P001,camera qualiti average . screen average . perform average . higher expectations .,0,1,1,1,0,3,0.0,neutral,neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life dreadful . screen dreadful . perform terrible . higher expectations .,1,0,1,1,0,1,-0.836,negative,negative,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
P001,screen outstanding . i 'm satisfi purchase .,0,0,1,0,0,5,0.6124,positive,positive,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
P001,camera qualiti perfect . i 'm satisfi purchase .,0,1,0,0,0,5,0.5719,positive,positive,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
P001,batteri life perfect . camera qualiti excellent . screen excellent . perform perfect . i 'm satisfi purchase .,1,1,1,1,0,5,0.9413,positive,positive,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
P001,batteri life mediocre . perform okay . price average . higher expectations .,1,0,0,1,1,3,0.2263,positive,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life satisfactory . screen satisfactory . price good . i 'm satisfi purchase .,1,0,1,0,1,4,0.7845,positive,positive,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
P001,batteri life bad . perform bad . higher expectations .,1,0,0,1,0,2,-0.7906,negative,negative,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
P001,camera qualiti okay . price mediocre . higher expectations .,0,1,0,0,1,3,0.2263,positive,neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,screen average . higher expectations .,0,0,1,0,0,3,0.0,neutral,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,camera qualiti average . screen average . price mediocre . higher expectations .,0,1,1,0,1,3,0.0,neutral,neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life mediocre . perform average . price average . higher expectations .,1,0,0,1,1,3,0.0,neutral,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life excellent . screen excellent . price perfect . i 'm satisfi purchase .,1,0,1,0,1,5,0.9022,positive,positive,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
P001,perform terrible . price terrible . higher expectations .,0,0,0,1,1,1,-0.7351,negative,negative,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life disappointing . camera qualiti disappointing . price disappointing . higher expectations .,1,1,0,0,1,2,-0.8625,negative,negative,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life okay . screen average . price okay . higher expectations .,1,0,1,0,1,3,0.4215,positive,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,camera qualiti good . i 'm satisfi purchase .,0,1,0,0,0,4,0.4404,positive,positive,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
P001,price average . higher expectations .,0,0,0,0,1,3,0.0,neutral,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,screen satisfactory . price good . i 'm satisfi purchase .,0,0,1,0,1,4,0.6597,positive,positive,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
P001,screen quit nice . perform good . price quit nice . i 'm satisfi purchase .,0,0,1,1,1,4,0.8176,positive,positive,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
P001,batteri life worst . camera qualiti terrible . perform terrible . higher expectations .,1,1,0,1,0,1,-0.8834,negative,negative,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
P001,batteri life mediocre . screen okay . price okay . higher expectations .,1,0,1,0,1,3,0.4215,positive,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life satisfactory . camera qualiti satisfactory . i 'm satisfi purchase .,1,1,0,0,0,4,0.6124,positive,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
P001,batteri life poor . camera qualiti disappointing . price bad . higher expectations .,1,1,0,0,1,2,-0.8689,negative,negative,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
P001,batteri life disappointing . screen bad . perform poor . price poor . higher expectations .,1,0,1,1,1,2,-0.9169,negative,negative,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
P001,camera qualiti satisfactory . perform quit nice . price good . i 'm satisfi purchase .,0,1,0,1,1,4,0.802,positive,positive,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
P001,camera qualiti dreadful . price worst . higher expectations .,0,1,0,0,1,1,-0.7906,negative,negative,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
P001,camera qualiti terrible . screen worst . perform dreadful . higher expectations .,0,1,1,1,0,1,-0.8779,negative,negative,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
P001,camera qualiti terrible . screen dreadful . higher expectations .,0,1,1,0,0,1,-0.7184,negative,negative,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
P001,price okay . higher expectations .,0,0,0,0,1,3,0.2263,positive,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,perform good . i 'm satisfi purchase .,0,0,0,1,0,4,0.4404,positive,positive,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
P001,batteri life outstanding . perform excellent . i 'm satisfi purchase .,1,0,0,1,0,5,0.8271,positive,positive,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1
P001,batteri life mediocre . perform average . higher expectations .,1,0,0,1,0,3,0.0,neutral,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life worst . camera qualiti worst . screen worst . price worst . higher expectations .,1,1,1,0,1,1,-0.9545,negative,negative,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
P001,batteri life disappointing . screen poor . perform bad . price bad . higher expectations .,1,0,1,1,1,2,-0.9231,negative,negative,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
P001,batteri life perfect . camera qualiti excellent . price outstanding . i 'm satisfi purchase .,1,1,0,0,1,5,0.9081,positive,positive,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1
P001,perform disappointing . price disappointing . higher expectations .,0,0,0,1,1,2,-0.7506,negative,negative,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,camera qualiti okay . screen okay . higher expectations .,0,1,1,0,0,3,0.4215,positive,neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,batteri life okay . camera qualiti average . screen average . perform okay . higher expectations .,1,1,1,1,0,3,0.4215,positive,neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,camera qualiti mediocre . perform average . higher expectations .,0,1,0,1,0,3,0.0,neutral,neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,camera qualiti perfect . screen outstanding . perform perfect . i 'm satisfi purchase .,0,1,1,1,0,5,0.9081,positive,positive,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
P001,batteri life outstanding . i 'm satisfi purchase .,1,0,0,0,0,5,0.6124,positive,positive,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
P001,camera qualiti disappointing . screen bad . perform poor . higher expectations .,0,1,1,1,0,2,-0.8689,negative,negative,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
P001,batteri life perfect . screen perfect . i 'm satisfi purchase .,1,0,1,0,0,5,0.8126,positive,positive,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
P001,camera qualiti average . price average . higher expectations .,0,1,0,0,1,3,0.0,neutral,neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,screen mediocre . perform mediocre . higher expectations .,0,0,1,1,0,3,0.0,neutral,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,screen outstanding . perform outstanding . price excellent . i 'm satisfi purchase .,0,0,1,1,1,5,0.9136,positive,positive,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1
P001,batteri life excellent . camera qualiti perfect . screen outstanding . perform excellent . i 'm satisfi purchase .,1,1,1,1,0,5,0.9442,positive,positive,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1
P001,batteri life mediocre . camera qualiti mediocre . screen mediocre . perform okay . higher expectations .,1,1,1,1,0,3,0.2263,positive,neutral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P001,perform poor . price bad . higher expectations .,0,0,0,1,1,2,-0.765,negative,negative,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
P001,batteri life poor . camera qualiti disappointing . perform poor . higher expectations .,1,1,0,1,0,2,-0.8555,negative,negative,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
P001,"overall , product outstanding .",0,0,0,0,0,5,0.6124,positive,positive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
