,quality_prescence,satisfi_prescence,excellent_prescence,disappointing_prescence,bad_prescence,terrible_prescence,worst_prescence,outstanding_prescence,perfect_prescence,dreadful_prescence,poor_prescence,good_prescence,quit_prescence,nice_prescence,i_prescence,'m_prescence,purchase_prescence,sentiment_score
quality_prescence,1.0,0.01778979822389881,0.0496919818201344,0.036403111544686735,0.039502295507745866,0.021421059249938056,0.037614449034524,0.02957087744519915,0.0382302231954774,0.027725926695801133,0.041909799652749775,0.041082480363007046,0.05944874829349026,0.05944874829349026,0.1338151201966833,0.01778979822389881,0.01778979822389881,0.030584093901927525
satisfi_prescence,0.01778979822389881,1.0,0.3901297502542926,-0.31082360289320426,-0.30083115095573765,-0.25750118581961645,-0.24273506876867004,0.37710304575003545,0.3839783152821658,-0.24626959668201492,-0.301402464699463,0.4528231469191524,0.45131989438163767,0.45131989438163767,0.12864463564413675,1.0,1.0,0.8004848062564685
excellent_prescence,0.0496919818201344,0.3901297502542926,1.0,-0.12455543185268905,-0.12055118585993543,-0.10318769586285803,-0.09727051303327805,0.4675926903634996,0.4991334389912208,-0.09868689404985452,-0.12078012674283642,-0.1799190965159769,-0.17935550002298578,-0.17935550002298578,0.010572542210319426,0.3901297502542926,0.3901297502542926,0.3824502205933802
disappointing_prescence,0.036403111544686735,-0.31082360289320426,-0.12455543185268905,1.0,0.5078339443876324,-0.08363831303158673,-0.0788421676614712,-0.12168082336074564,-0.12358272888677888,-0.07999020879026844,0.49438550438716605,-0.14583259747134258,-0.14537577692204953,-0.14537577692204953,0.04178474080261526,-0.31082360289320426,-0.31082360289320426,-0.5146946971949952
bad_prescence,0.039502295507745866,-0.30083115095573765,-0.12055118585993543,0.5078339443876324,1.0,-0.08094948304789253,-0.07630752562119553,-0.11776899115808828,-0.11960975364549237,-0.07741865917381492,0.5048018727333556,-0.1411443266721364,-0.14070219212911933,-0.14070219212911933,0.01015441190213322,-0.3008311509557376,-0.3008311509557376,-0.5094404475618574
terrible_prescence,0.021421059249938056,-0.25750118581961645,-0.10318769586285803,-0.08363831303158673,-0.08094948304789253,1.0,0.5238260617731674,-0.10080623226565169,-0.10238186205602759,0.5188391289939529,-0.0811032156386357,-0.12081472073061222,-0.12043626866952489,-0.12043626866952489,0.03461648409479241,-0.25750118581961645,-0.25750118581961645,-0.42636208650713864
worst_prescence,0.037614449034524,-0.24273506876867004,-0.09727051303327805,-0.0788421676614712,-0.07630752562119553,0.5238260617731674,1.0,-0.09502561179836541,-0.09651088886341468,0.5013461271781048,-0.0764524425887321,-0.11388673590558274,-0.11352998575400056,-0.11352998575400056,-0.0037728034760810356,-0.2427350687686701,-0.2427350687686701,-0.42091118934394595
outstanding_prescence,0.02957087744519915,0.37710304575003545,0.4675926903634996,-0.12168082336074564,-0.11776899115808828,-0.10080623226565169,-0.09502561179836541,1.0,0.4643602622678824,-0.09640930422932603,-0.11799264832596915,-0.17576675281635135,-0.17521616353822453,-0.17521616353822453,0.050361636119056426,0.3771030457500356,0.3771030457500356,0.37557726420690585
perfect_prescence,0.0382302231954774,0.3839783152821658,0.4991334389912208,-0.12358272888677888,-0.11960975364549237,-0.10238186205602759,-0.09651088886341468,0.4643602622678824,1.0,-0.09791620879662284,-0.11983690663787415,-0.1785140366466318,-0.1779548415030826,-0.1779548415030826,-0.0015158253813012234,0.3839783152821658,0.3839783152821658,0.37741520141882345
dreadful_prescence,0.027725926695801133,-0.24626959668201492,-0.09868689404985452,-0.07999020879026844,-0.07741865917381492,0.5188391289939529,0.5013461271781048,-0.09640930422932603,-0.09791620879662284,1.0,-0.07756568631467549,-0.11554507002705897,-0.11518312514454924,-0.11518312514454924,-0.002836214450853229,-0.24626959668201487,-0.24626959668201487,-0.40858211673432926
